producto_id,titulo,marca,precio_actual,precio_original,descuento_porcentaje,tiene_descuento,url,imagen_url,pagina,fecha_scraping,grupo
,Teléfono Robusto Celular Ulefone Armor 33 Pro 5g Dual Sim 16+16gb Ram 512gb Rom 25500mah Batería 50mp 64mp Cámara De Visión Nocturna Smartphone,Teléfono,892333,892333.0,48,True,,https://http2.mlstatic.com/D_Q_NP_2X_787535-MLA101567150585_122025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Teléfono Oppo Reno13 F 5G 12+256GB Morado Smartphone,Teléfono,449990,449990.0,26,True,,https://http2.mlstatic.com/D_Q_NP_2X_911928-MLA99991511179_112025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,"Ulefone Armor 27 Pro 5g 10600 mAh, doble SIM, Android 14, teléfono inteligente robusto, cámara nocturna de 64 megapíxeles, cámara dual de 50 megapíxeles, hasta 24 GB de RAM+256 GB de ROM NFC",Ulefone,525769,525769.0,35,True,,https://http2.mlstatic.com/D_Q_NP_2X_706816-MLA88462057576_072025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Celular Adulto Mayor Senior Tercera Edad Bt Teléfono,Celular,55000,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_943768-MLC92296157546_092025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Ulefone Armor X31 Pro 5g Dual Sim Teléfono Resistente Android 15 Smartphone 6.56 16gb Ram 256gb Rom Cámara Nocturna 6050mah Nfc Negro,Ulefone,437769,437769.0,43,True,,https://http2.mlstatic.com/D_Q_NP_2X_641857-MLA102130571462_122025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Ulefone Armor 30 Pro 5g Teléfono Rugged Dual Sim Smartphone,Ulefone,731038,731038.0,40,True,,https://http2.mlstatic.com/D_Q_NP_2X_630749-CBT84700783522_052025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,5 Lapiz Touch Táctil Tablet Celular Smartphone Pack 05,5,4990,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_774876-MLC97922071000_112025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Teléfono Oppo Reno14 F 5G 12+256GB Verde Smartphone Cph2743,Teléfono,569990,569990.0,25,True,,https://http2.mlstatic.com/D_Q_NP_2X_917873-MLA110436830739_042026-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Envío Rápido S25 Ultra Smartphone 4+64gb Con Lápiz Óptico,Envío,116455,116455.0,37,True,,https://http2.mlstatic.com/D_Q_NP_2X_868099-CBT105775262846_022026-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Rx Mini Smartphone Android Ultrapequeño Para Estudiantes.,Rx,38071,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_865305-CBT90122410367_082025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Celular Adulto Mayor Senior Tercera Edad Teléfono Móvil Bt,Celular,73700,73700.0,17,True,,https://http2.mlstatic.com/D_Q_NP_2X_833940-MLC94074923257_102025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Jykl Sjsj Teléfonos Inteligentes Android Baratos S24ultra,Jykl,49160,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_998066-MLM92250022059_092025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,. Mini Teléfono Inteligente Android Ultrapequeño For,.,31875,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_732378-MLM100958305258_122025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Teléfono Oppo Reno14 F 5G 12+256GB Verde Smartphone Cph2743,Teléfono,569990,569990.0,25,True,,https://http2.mlstatic.com/D_Q_NP_2X_917873-MLA110436830739_042026-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Nothing Phone (3a) 12gb Ram 256gb Rom Teléfono 5g Smartphone Snapdragon 7s Gen 3 Octa Core 6.77'' Amoled Pantalla 120hz 3000 Nits Nfc Bluetooth 5.4 Color BL,Nothing,499990,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_612847-MLA99994334364_122025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Ulefone Armor Series 27t pro celular imagenes termicas 24GB ram 256GB rom color negro,Ulefone,700734,700734.0,36,True,,https://http2.mlstatic.com/D_Q_NP_2X_911466-MLA104884474360_012026-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Oukitel Wp56 5g 24 (8+16) +256 Gb 16000 mAh Teléfono celular Dual Sim Mtk 7050 6.8 pulgadas FHD+ 1000 Lámpara De Camping Rugged Smartphone Altavoz/NFC,Oukitel,398028,398028.0,34,True,,https://http2.mlstatic.com/D_Q_NP_2X_871603-MLA109616515368_042026-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Teléfono Inteligente I14 Pro Max1tb+16 Gb Teléfono Inteligen,Teléfono,72098,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_997991-CBT110309910001_042026-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Mini Teléfono Inteligente Android Ultra Pequeño Para Estudia,Mini,38357,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_998498-CBT88393270749_072025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Lápiz Táctil S Pen Para Samsung Galaxy Note 10/10+,Lápiz,4883,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_673128-CBT89072216280_082025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Mini Smartphone Android Ultrapequeño Para Estudiantes 2025,Mini,38357,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_958996-CBT89738328720_082025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Mini Teléfono Inteligente I17 Promax Cross Border Más Vendid,Mini,48232,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_861112-CBT102152356209_122025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Smartphones V27 5.45 En Baratos 3g 1+8gb Gris,Smartphones,80357,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_897081-CBT89661661455_082025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Smartphone 8849 Tank 2 Pro Rugged 12 Gb+512 Gb Android 14,Smartphone,663957,663957.0,21,True,,https://http2.mlstatic.com/D_Q_NP_2X_742927-CBT86982515110_072025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Mini Teléfono Inteligente Android Ultra Pequeño Para Estudia,Mini,38357,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_998498-CBT88393270749_072025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Rx Mini Smartphone Android Ultrapequeño Para Estudiantes.,Rx,38071,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_865305-CBT90122410367_082025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Szm Sjsj Sjsj Znsj T Smartphone S24 Ultra Económico De 2026,Szm,45955,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_915767-CBT104164298200_012026-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Miniteléfono A19pro Android Smart 4g De 2 Gb+16 Gb,Miniteléfono,62348,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_796081-CBT105101922627_012026-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Envío Rápido S25 Ultra Smartphone 4+64gb Con Lápiz Óptico,Envío,116455,116455.0,37,True,,https://http2.mlstatic.com/D_Q_NP_2X_868099-CBT105775262846_022026-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Smartphones Rino9 5.0 En Baratos 3g 1+8gb Negro,Smartphones,80357,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_824276-CBT89663051849_082025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Mini Teléfono Inteligente Android Ultra Pequeño Para Estudia,Mini,37294,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_967219-CBT88232825232_072025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Mini Teléfono Inteligente I17 Promax Cross Border Más Vendid,Mini,52401,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_725808-CBT101647673880_122025-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Nuevo Teléfono Móvil Transfronterizo S21+pro Teléfono,Nuevo,65366,,0,False,,https://http2.mlstatic.com/D_Q_NP_2X_798764-CBT110611715819_042026-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
,Teléfono Inteligente Motorola Moto G Stylus 5g De 4/128 Gb Y,Teléfono,163411,163411.0,5,True,,https://http2.mlstatic.com/D_Q_NP_2X_893171-MLC107813797227_022026-E.webp,2,2026-04-21T18:02:35.853843,E-Commerce
